lang,measure
Eero,315.31134862556837
Order,315.3467034234307
Standard-ML,315.52913417558733
SNOBOL4,316.44621845915265
Perl-6,316.7453022908488
Fortress,317.8776291203716
PowerShell,318.0263866272745
ALGOL-M,319.1507263017833
N-t-roff,319.2392538214391
BBC-BASIC,319.35781803503363
XSLT,319.4805104672258
Elixir,319.6324423751842
PlainTeX,319.8744605212787
EC,320.4533449569812
Gambas,321.66239468681204
CoffeeScript,321.9973395675792
Forth,322.219404271714
REALbasic,322.4678548075965
Mirah,322.59813616905564
ML-I,322.9145778834177
Battlestar,323.551062937253
Perl5i,324.1326777471274
LibreOffice-Basic,324.9457327697829
Verilog,325.33225005759044
Morfa,325.9590308885441
Ra,326.41783561104063
EchoLisp,326.5773980283087
MySQL,326.63100789623076
ZPL,327.28394108863426
Whitespace,327.7475074501251
FormulaOne,328.54100598915346
Lua,328.8637216897283
Nemerle,329.3520559079929
CafeOBJ,329.539039743494
Oz,329.6587965065246
Fan,329.7130768760184
Icon,330.3499922744699
Bracmat,330.4207459466056
REBOL,330.6562673972467
Fantom,330.70682439928515
Assembly,330.9481459073344
Coq,330.98980072644304
F-Sharp,331.2919581630896
Nit,331.35062967058377
Oxygene,331.9759614503732
ActionScript,333.69890920500626
OCaml,334.0353685506617
PL-M,334.5581143944254
Pure-Data,334.9088584294979
Vedit-macro-language,335.2697853639783
Integer-BASIC,335.4249652220532
Dart,336.3156295615959
Frege,336.5475849087646
Perl,336.6624589772615
Scheme,337.05528120982694
TypeScript,339.33567101494714
MUMPS,339.81470499494185
Pony,341.92212725080304
Dodo0,342.3188900718673
CMake,342.57279720351517
Argile,342.58543595944
Ya,344.88635644823364
VBScript,345.4544083219171
Visual-Prolog,346.11692938242237
Modula-3,346.3502720006522
8051-Assembly,346.7006728366571
GFA-Basic,346.9972611597349
AWK,347.61201245342414
XPL0,347.6895770381286
Objeck,348.3022495859088
Common-Lisp,348.3343801691151
ERRE,350.7701585592185
Inform-7,350.95681525405547
ECL,352.4154028753322
LSL,353.8186079061067
Python,356.03393780174315
AutoIt,358.13693487456595
Sather,359.7299316591774
PowerBASIC,362.52538012904034
EGL,363.9767860622741
Dylan.NET,364.4201756408573
Tcl,364.95502563560564
Racket,365.1732439489715
Elena,365.42238944067566
ALGOL-60,365.5596716726915
Applesoft-BASIC,366.99905488508455
Erlang,367.0300727934202
Seed7,367.7829353735328
Onyx,369.955531404331
FutureBasic,374.511532297351
Cache-ObjectScript,378.5924792437546
LOLCODE,380.3334012930456
Ceylon,389.9042279720439
Neko,390.8925243677919
Golo,391.2554701823724
SPARK,392.4301784292287
Prolog,393.9827956567635
Swift,397.42379293081746
Visual-Basic,397.66224782694803
Haskell,398.7389890466296
Batch-File,400.8514569449743
FBSL,401.90734481341246
Pyret,401.9600951965994
Spin,403.3035995263072
Phix,406.22902016094184
Brainf---,408.42091606305837
Scala,409.9874871220027
PL-I,414.5016798864212
Oberon-2,418.48029611833033
OxygenBasic,419.81493659057475
VBA,420.94193656522776
AutoHotkey,421.9104764039939
Delphi,422.4868266158076
Mercury,424.484305451172
BCPL,431.03828354666575
Limbo,435.2477451627008
Liberty-BASIC,438.6918366118531
RPG,439.7616262331298
D,440.6256161721529
Objective-C,440.9664434188219
Visual-FoxPro,443.2843945228285
Kotlin,448.5162259209821
PL-SQL,451.6743464481774
Chef,453.92706797951627
JavaScript,456.1826268909444
NetLogo,458.30513764577495
IWBASIC,463.6406782502277
Component-Pascal,465.68062641141
