lang,zipped,raw,compression ratio
Z80-Assembly,307.440217649648,21772.5138888889,0.014120565921721
Computer-zero-Assembly,306.938636508434,21770.4375,0.014098873139708
Monkey,306.15444481083,21777.7986111111,0.014058098813286
Frege,303.308638451863,21638.8958333333,0.014016826033454
Ursa,245.741636960751,17551.3402777778,0.014001303209413
Falcon,283.536978699946,20263.7152777778,0.013992349123208
TypeScript,302.384572859708,21623.9583333333,0.013983775227387
Ra,301.40789114334,21775.6805555556,0.013841491216514
Heron,301.427730424623,21787.7708333333,0.013834720987769
Clipper-XBase++,301.256728537722,21779.375,0.013832202647584
XSLT,292.903400830975,21176.25,0.013831693563826
ZX-Spectrum-Basic,275.384176190378,19974.6458333333,0.013786686306639
Aime,235.289933175686,17126.2013888889,0.013738594322985
PlainTeX,290.613217228138,21169.7152777778,0.013727781097425
SequenceL,298.511755120391,21772.6458333333,0.013710403292529
Scilab,292.827650093115,21365.5625,0.013705590484366
MLite,298.079160297343,21773.0763888889,0.013690263836555
Argile,295.511416706847,21622.0138888889,0.013667155068229
Potion,292.738025834753,21469.3611111111,0.013635153105849
Lucid,296.359804357508,21772.75,0.013611500814436
ACL2,265.423814143096,19534.7222222222,0.013587283767012
Clay,295.22003506522,21772.4305555556,0.013559351323313
BaCon,250.183139980151,18480.625,0.013537590854214
Lingo,241.958517040041,17877.7708333333,0.013534042879043
PL-SQL,292.434419701748,21617.7777777778,0.013527496799526
F-Sharp,294.534361648788,21788.6875,0.013517765200349
Vala,267.569358925754,19812.5138888889,0.013505068585759
RPL,293.353444208378,21772.1875,0.013473769882258
Hoon,289.758769491014,21621.2569444444,0.013401569124105
Wrapl,291.721231966019,21771.3888888889,0.013399293607534
FunL,263.325704496649,19681.3819444444,0.013379431649665
Mathprog,290.691830482407,21781.3819444444,0.013345885546833
GW-BASIC,282.283330716602,21169.5138888889,0.013334426675936
PIR,287.95354492464,21772.1180555556,0.013225793842835
CLIPS,287.915348898771,21771.875,0.013224187117498
Snobol,285.893843153735,21623.5069444444,0.013221437387019
Nit,287.71429290393,21776.0902777778,0.013212394384567
